stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.030528249975759536,,0.021901040978264064,0.030528249975759536,0.5053008749964647,0.5053008749964647,0.524159915978089,0.7918476249906234,1.2279575829743408,left,-10.0,1,1,0.6848098329792265,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
1,2,8.0,1.2630686249758583,,1.2281862499949057,1.2630686249758583,1.725745832984103,1.725745832984103,1.7586671249882784,2.0213573749933857,2.044463874975918,right,8.0,1,1,0.3147546669933945,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
2,2,6.0,2.0571325829951093,,2.0447945829946548,2.0571325829951093,2.54100612498587,2.54100612498587,2.554659540997818,2.8379992909904104,2.8736216249817517,right,6.0,1,1,0.32751383300637826,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
3,2,4.0,2.8947941249934956,,2.8740627910010517,2.8947941249934956,3.3713930409867316,3.3713930409867316,3.3919039579923265,,3.6070058749755844,right,4.0,1,1,0.22662533397669904,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
4,1,2.0,3.6154756249743514,,3.6074752909771632,3.6154756249743514,4.104567457980011,4.104567457980011,4.109844124992378,,4.311845457996242,left,-2.0,0,0,0.20185149999451824,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
5,1,3.0,4.320526083000004,,4.312155249994248,4.320526083000004,4.812273957999423,4.812273957999423,4.812273957999423,,4.890179040987277,left,-3.0,0,0,0.06540841702371836,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
6,1,4.0,4.8986907079815865,,4.890516165993176,4.8986907079815865,5.387960166000994,5.387960166000994,5.392983375000767,,5.524026332976064,left,-4.0,1,1,0.12966758300899528,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
7,1,4.0,5.532405457983259,,5.524530957976822,5.532405457983259,6.021260249981424,6.021260249981424,6.026276832999429,,6.073465165973175,left,-4.0,0,0,0.0466471670079045,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
8,1,5.0,6.081721082999138,,6.073877040995285,6.081721082999138,6.571267665975029,6.571267665975029,6.57674466597382,,6.6104859999904875,right,5.0,1,1,0.03484020900214091,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
9,1,5.0,6.62078187498264,,6.610818916000426,6.62078187498264,7.109904040989932,7.109904040989932,7.109904040989932,,7.173746665997896,left,-5.0,0,0,0.05597891699289903,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
10,1,6.0,7.181971207988681,,7.174106957972981,7.181971207988681,7.671277207991807,7.671277207991807,7.677208790992154,,7.72228916597669,left,-6.0,1,1,0.03801700001349673,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
11,1,6.0,7.726293249987066,,7.722548540972639,7.726293249987066,8.221264457999496,8.221264457999496,8.226544124976499,,8.257356665999396,right,6.0,0,0,0.02947862501605414,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
12,1,7.0,8.265826290997211,,8.257896165974671,8.265826290997211,8.754644125001505,8.754644125001505,8.759470749995671,9.042306582996389,9.20708470797399,left,-7.0,0,0,0.44788020799751393,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
